Silver Futures Historical Data
Date,Price,Open,High,Low,Vol.,Change %,Candle %
"Dec 04, 2011",32.173,32.735,33.15,31.46,1.07K,-1.37%,-1.747%
"Nov 27, 2011",32.621,32.06,33.555,31.135,19.88K,5.19%,1.720%
"Nov 20, 2011",31.012,31.175,33,31.02,0.03K,-4.32%,-0.526%
"Nov 13, 2011",32.413,34.6,34.6,31.38,0.02K,-6.51%,-6.747%
"Nov 06, 2011",34.671,34.33,35.04,34.1,0.24K,1.76%,0.984%
"Oct 30, 2011",34.07,34.27,34.795,32.87,0.14K,-3.40%,-0.587%
"Oct 23, 2011",35.27,31.355,35.455,31.355,0.11K,13.14%,11.100%
"Oct 16, 2011",31.173,32.02,32.445,30.105,0.11K,-3.01%,-2.717%
"Oct 09, 2011",32.14,32.25,32.42,31.56,0.10K,3.82%,-0.342%
"Oct 02, 2011",30.958,29.965,32.53,28.41,0.32K,3.05%,3.208%
"Sep 25, 2011",30.041,30.785,32.85,26.585,0.49K,-0.03%,-2.477%
"Sep 18, 2011",30.051,40.71,40.71,30.275,0.69K,-26.31%,-35.470%
"Sep 11, 2011",40.781,41.225,41.35,39.475,1.00K,-1.91%,-1.089%
"Sep 04, 2011",41.573,43.005,43.28,40.58,1.21K,-3.36%,-3.445%
"Aug 28, 2011",43.02,40.805,43.395,40.425,23.23K,5.06%,5.149%
"Aug 21, 2011",40.947,43.655,44.15,40.48,0.16K,-3.49%,-6.613%
"Aug 14, 2011",42.428,39.47,42.195,39.36,0.32K,8.51%,6.972%
"Aug 07, 2011",39.101,39.08,40.215,37.215,0.42K,2.37%,0.054%
"Jul 31, 2011",38.197,39.625,42.2,37.79,0.25K,-4.73%,-3.739%
"Jul 24, 2011",40.092,40.45,41.42,39.435,0.58K,-0.05%,-0.893%
"Jul 17, 2011",40.113,39.77,40.87,38.435,1.50K,2.69%,0.855%
"Jul 10, 2011",39.063,36.66,39.355,34.85,1.57K,6.92%,6.152%
"Jul 03, 2011",36.536,33.83,36.82,33.83,3.16K,8.43%,7.406%
"Jun 26, 2011",33.694,33.955,35.14,33.465,38.41K,-2.73%,-0.775%
"Jun 19, 2011",34.641,35.8,36.7,34.935,0.07K,-3.07%,-3.346%
"Jun 12, 2011",35.739,36.05,36.05,34.62,0.10K,-1.62%,-0.870%
"Jun 05, 2011",36.326,36.75,37.83,36.1,0.34K,0.38%,-1.167%
"May 29, 2011",36.187,38.325,38.65,35.175,1.12K,-4.41%,-5.908%
"May 22, 2011",37.857,34.61,38.825,34.395,0.84K,7.91%,8.577%
"May 15, 2011",35.082,35.215,35.695,33.095,0.27K,0.20%,-0.379%
"May 08, 2011",35.011,35.54,39.38,32.595,1.21K,-0.77%,-1.511%
"May 01, 2011",35.283,47.97,48.085,33.535,8.05K,-27.38%,-35.958%
"Apr 24, 2011",48.584,47.235,49.52,44.76,44.70K,5.48%,2.777%
"Apr 17, 2011",46.062,42.94,46.27,42.75,0.17K,8.21%,6.778%
"Apr 10, 2011",42.566,40.97,42.805,39.835,0.08K,4.84%,3.749%
"Apr 03, 2011",40.6,38.325,40.925,38.3,0.21K,7.59%,5.603%
"Mar 27, 2011",37.737,37.18,37.92,36.45,0.59K,1.83%,1.476%
"Mar 20, 2011",37.058,35.75,38.13,35.705,1.27K,5.70%,3.530%
"Mar 13, 2011",35.06,36.265,36.325,33.6,2.07K,-2.43%,-3.437%
"Mar 06, 2011",35.933,35.67,36.73,34.07,2.23K,1.74%,0.732%
"Feb 27, 2011",35.317,33.34,35.62,33.25,8.34K,7.35%,5.598%
"Feb 20, 2011",32.898,33.4,34.01,32.035,37.71K,1.86%,-1.526%
"Feb 13, 2011",32.298,30.41,32.645,30.4,0.17K,7.69%,5.846%
"Feb 06, 2011",29.992,29.135,30.205,29.135,0.29K,3.19%,2.857%
"Jan 30, 2011",29.064,27.775,29.155,27.775,0.25K,4.05%,4.435%
"Jan 23, 2011",27.934,27.175,27.95,26.505,0.38K,1.89%,2.717%
"Jan 16, 2011",27.416,28.175,29.325,27.09,0.23K,-3.15%,-2.768%
"Jan 09, 2011",28.309,28.9,29.81,28.1,0.15K,-1.23%,-2.088%
